Case,Level,TestCase,Context,Input,Expected,PassFail,table,row
56,LEVEL 6 – AI AGENT LOGIC,Agent retry khi service lỗi,,,,,6,12
57,LEVEL 6 – AI AGENT LOGIC,Agent không chọn driver offline,,,,,6,13
58,LEVEL 6 – AI AGENT LOGIC,Agent log decision đầy đủ,,,,,6,14
59,LEVEL 6 – AI AGENT LOGIC,Agent xử lý nhiều request song song,,,,,6,15
60,LEVEL 6 – AI AGENT LOGIC,Agent fallback rule-based khi AI fail,,,,,6,16
61,LEVEL 7 – PERFORMANCE  & LOAD TEST,1000 requests/second booking,,,,,6,17
62,LEVEL 7 – PERFORMANCE  & LOAD TEST,ETA service under load,,,,,6,18
63,LEVEL 7 – PERFORMANCE  & LOAD TEST,Pricing service under spike,,,,,6,19
64,LEVEL 7 – PERFORMANCE  & LOAD TEST,Kafka throughput test,,,,,6,20
65,LEVEL 7 – PERFORMANCE  & LOAD TEST,DB connection pool exhaustion,,,,,6,21
66,LEVEL 7 – PERFORMANCE  & LOAD TEST,Redis cache hit rate > 90%,,,,,6,22
67,LEVEL 7 – PERFORMANCE  & LOAD TEST,API Gateway rate limit,,,,,6,23
68,LEVEL 7 – PERFORMANCE  & LOAD TEST,P95 latency < 300ms,,,,,6,24
69,LEVEL 7 – PERFORMANCE  & LOAD TEST,Load test giờ cao điểm,,,,,6,25
70,LEVEL 7 – PERFORMANCE  & LOAD TEST,Auto scaling hoạt động,,,,,6,26
71,LEVEL 8 – FAILURE &  RESILIENCE,Driver service down → fallback,,,,,6,27
72,LEVEL 8 – FAILURE &  RESILIENCE,Pricing service timeout → retry,,,,,6,28
73,LEVEL 8 – FAILURE &  RESILIENCE,Kafka down → buffer event,,,,,6,29
74,LEVEL 8 – FAILURE &  RESILIENCE,DB failover,,,,,6,30
75,LEVEL 8 – FAILURE &  RESILIENCE,Circuit breaker open,,,,,6,31
76,LEVEL 8 – FAILURE &  RESILIENCE,Partial system failure handling,,,,,6,32
77,LEVEL 8 – FAILURE &  RESILIENCE,Retry exponential backoff,,,,,6,33
78,LEVEL 8 – FAILURE &  RESILIENCE,Service mesh routing fail,,,,,6,34
79,LEVEL 8 – FAILURE &  RESILIENCE,Network partition test,,,,,6,35
80,LEVEL 8 – FAILURE &  RESILIENCE,Graceful degradation,,,,,6,36
81,LEVEL 9 – SECURITY TEST,SQL injection attempt,,,,,6,37
82,LEVEL 9 – SECURITY TEST,XSS input test,,,,,6,38
83,LEVEL 9 – SECURITY TEST,JWT tampering,,,,,6,39
84,LEVEL 9 – SECURITY TEST,Unauthorized API access,,,,,6,40
85,LEVEL 9 – SECURITY TEST,Rate limit attack,,,,,6,41
86,LEVEL 9 – SECURITY TEST,Replay attack (idempotency),,,,,6,42
87,,Data encryption at rest,,,,,7,0
88,,mTLS communication,,,,,7,1
89,,RBAC enforcement,,,,,7,2
90,,Sensitive data masking,,,,,7,3
91,"LEVEL 10 - ZERO TRUST SECURITY  “Never trust, always verify”  Không tin bất kỳ request nào—even internal Mỗi request đều phải được xác thực + phân quyền Các thành phần:  Authentication, Authorization, mTLS, API Gateway security, Rate limiting, Encryption, Audit logging",Request không có token,Client gọi API nhưng không gửi JWT,GET /booking (không Authorization header),"HTTP 401 Unauthorized Message: ""Missing token"" Request bị reject ngay tại API  Gateway",,7,4
92,"LEVEL 10 - ZERO TRUST SECURITY  “Never trust, always verify”  Không tin bất kỳ request nào—even internal Mỗi request đều phải được xác thực + phân quyền Các thành phần:  Authentication, Authorization, mTLS, API Gateway security, Rate limiting, Encryption, Audit logging",Token không hợp lệ (tampered),Token bị sửa payload,JWT đã bị thay đổi signature,"HTTP 401 Message: ""Invalid token"" Không decode được",,7,5
93,"LEVEL 10 - ZERO TRUST SECURITY  “Never trust, always verify”  Không tin bất kỳ request nào—even internal Mỗi request đều phải được xác thực + phân quyền Các thành phần:  Authentication, Authorization, mTLS, API Gateway security, Rate limiting, Encryption, Audit logging",Token hết hạn,Token đã expired,JWT có exp < current_time,"HTTP 401 Message: ""Token expired"" Không cho truy cập",,7,6
94,"LEVEL 10 - ZERO TRUST SECURITY  “Never trust, always verify”  Không tin bất kỳ request nào—even internal Mỗi request đều phải được xác thực + phân quyền Các thành phần:  Authentication, Authorization, mTLS, API Gateway security, Rate limiting, Encryption, Audit logging",Service-to-service authentication  (mTLS),Service A gọi Service B,Request không có certificate hợp lệ,Request bị từ chối mTLS handshake fail Không truy cập được service,,7,7
95,"LEVEL 10 - ZERO TRUST SECURITY  “Never trust, always verify”  Không tin bất kỳ request nào—even internal Mỗi request đều phải được xác thực + phân quyền Các thành phần:  Authentication, Authorization, mTLS, API Gateway security, Rate limiting, Encryption, Audit logging",RBAC – user không có quyền,User thường gọi API admin,Token role = USER Gọi /admin/dashboard,"HTTP 403 Forbidden Message: ""Access denied""",,7,8
96,"LEVEL 10 - ZERO TRUST SECURITY  “Never trust, always verify”  Không tin bất kỳ request nào—even internal Mỗi request đều phải được xác thực + phân quyền Các thành phần:  Authentication, Authorization, mTLS, API Gateway security, Rate limiting, Encryption, Audit logging",Least privilege (driver không truy cập user data),Driver cố truy cập thông tin user khác,driver_id gọi API /users/{user_id},HTTP 403 Không trả dữ liệu user,,7,9
97,"LEVEL 10 - ZERO TRUST SECURITY  “Never trust, always verify”  Không tin bất kỳ request nào—even internal Mỗi request đều phải được xác thực + phân quyền Các thành phần:  Authentication, Authorization, mTLS, API Gateway security, Rate limiting, Encryption, Audit logging",API Gateway kiểm tra tất cả request,Request bypass service trực tiếp,gọi trực tiếp service nội bộ (không qua gateway),Request bị chặn Chỉ cho phép traffic qua API Gateway,,7,10
98,"LEVEL 10 - ZERO TRUST SECURITY  “Never trust, always verify”  Không tin bất kỳ request nào—even internal Mỗi request đều phải được xác thực + phân quyền Các thành phần:  Authentication, Authorization, mTLS, API Gateway security, Rate limiting, Encryption, Audit logging",Rate limiting chống abuse,Client spam request,>100 requests/second,HTTP 429 Too Many Requests Rate limit được áp dụng Không overload hệ thống,,7,11
99,"LEVEL 10 - ZERO TRUST SECURITY  “Never trust, always verify”  Không tin bất kỳ request nào—even internal Mỗi request đều phải được xác thực + phân quyền Các thành phần:  Authentication, Authorization, mTLS, API Gateway security, Rate limiting, Encryption, Audit logging",Data encryption in transit,Giao tiếp giữa các service,Request qua HTTP (không TLS),Request bị từ chối Chỉ cho phép HTTPS / mTLS,,7,12
100,"LEVEL 10 - ZERO TRUST SECURITY  “Never trust, always verify”  Không tin bất kỳ request nào—even internal Mỗi request đều phải được xác thực + phân quyền Các thành phần:  Authentication, Authorization, mTLS, API Gateway security, Rate limiting, Encryption, Audit logging",Audit logging (security trace),User truy cập hệ thống,Login + API call,"Log đầy đủ: user_id, action, timestamp Có thể trace hành vi Không missing log",,7,13
